"","Familia","Departamento","Genero","Edad","Parentesco","Estado.civil","Nivel.educativo.alcanzado","Empleo.antes","Rama.actividad","tiempo.en.colombia","Horas.disponibles"
"1","4804612 - 2","Region cafetera 1","Femenino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"2","4804615 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"3","4804615 - 1","Region cafetera 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"4","4804661 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Soltero","Básica secundaria","Si","Construcción","Entre 1 y 5 años","(48,130]"
"5","4804692 - 1","Region cafetera 1","Femenino","(26,59]","Nucleo familiar","Soltero","Superior o universitaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]"
"6","4804694 - 1","Region cafetera 1","Masculino","(59,100]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Fabricación de muebles / industrias manufactureras","Menos de 1 año","(39,48]"
"7","4804785 - 1","Region Norte 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]"
"8","4804785 - 1","Region Norte 1","Masculino","(59,100]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(39,48]"
"9","4804788 - 1","Region Norte 1","Masculino","(18,26]","Jefe de hogar","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]"
"10","4804788 - 1","Region Norte 1","Femenino","(26,59]","Otros No parientes","Soltero","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(0,39]"
"11","4804817 - 1","Region Norte 1","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]"
"12","4804821 - 1","Region Norte 1","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Básica primaria","No","Construcción","Entre 1 y 5 años","(39,48]"
"13","4804821 - 1","Region Norte 1","Femenino","(26,59]","Otros No parientes","Casado y/o union libre","Básica primaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]"
"14","4804821 - 1","Region Norte 1","Femenino","(18,26]","Otros parientes","Separado y/o viudo","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]"
"15","4804827 - 1","Region Norte 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Mas de 5 años","(0,39]"
"16","4804838 - 1","Region Norte 1","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de productos de metal","Menos de 1 año","(39,48]"
"17","4804839 - 1","Region Norte 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"18","4804842 - 1","Region Norte 1","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"19","4804842 - 1","Region Norte 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"20","4804842 - 1","Region Norte 1","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"21","4804842 - 1","Region Norte 1","Femenino","(18,26]","Otros No parientes","Casado y/o union libre","Básica secundaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"22","4804842 - 1","Region Norte 1","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"23","4804842 - 1","Region Norte 1","Femenino","(14,18]","Otros No parientes","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"24","4804846 - 1","Region Norte 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Servicios sociales y de salud","Entre 1 y 5 años","(39,48]"
"25","4804846 - 1","Region Norte 1","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Básica secundaria","No","Construcción","Entre 1 y 5 años","(39,48]"
