"","Variable","Nivel","Valor","Departamento"
"1","Genero","Femenino",-0.0997768778206863,"Region Cafetera 2"
"2","Edad","(26,59]",-0.0118984669035514,"Region Cafetera 2"
"3","Parentesco","Jefe de hogar",0.0243452883729754,"Region Cafetera 2"
"4","Estado.civil","Casado y/o union libre",0.0362908725046953,"Region Cafetera 2"
"5","Nivel.educativo.alcanzado","Superior o universitaria",0.0231181268735776,"Region Cafetera 2"
"6","Empleo.antes","Si",-0.00509366038720987,"Region Cafetera 2"
"7","Rama.actividad","Hoteles, restaurantes, bares y similares",-0.0830410348303861,"Region Cafetera 2"
"8","tiempo.en.colombia","Menos de 1 año",-0.0658603185799982,"Region Cafetera 2"
"9","Horas.disponibles","(48,130]",0.029825644102776,"Region Cafetera 2"
"10","Genero","Femenino",-0.103675714359059,"Region Cafetera 2"
"11","Edad","(18,26]",0.0337936508635817,"Region Cafetera 2"
"12","Parentesco","Jefe de hogar",0.0225287541675336,"Region Cafetera 2"
"13","Estado.civil","Soltero",0.00371174726456908,"Region Cafetera 2"
"14","Nivel.educativo.alcanzado","Media (10o -13o)",0.0119029573961502,"Region Cafetera 2"
"15","Empleo.antes","Si",0.000116130549843397,"Region Cafetera 2"
"16","Rama.actividad","Elaboración de productos alimenticios",0.0582256891087431,"Region Cafetera 2"
"17","tiempo.en.colombia","Menos de 1 año",-0.0724975710125033,"Region Cafetera 2"
"18","Horas.disponibles","(39,48]",-0.0371751909949113,"Region Cafetera 2"
"19","Genero","Femenino",-0.102757809362468,"Region Cafetera 2"
"20","Edad","(18,26]",0.0331676557027979,"Region Cafetera 2"
"21","Parentesco","Otros parientes",-0.0069048635524065,"Region Cafetera 2"
"22","Estado.civil","Soltero",0.0113640664710352,"Region Cafetera 2"
"23","Nivel.educativo.alcanzado","Superior o universitaria",0.0151914136814998,"Region Cafetera 2"
"24","Empleo.antes","Si",-0.00176909500184712,"Region Cafetera 2"
"25","Rama.actividad","Elaboración de productos alimenticios",0.0613385864658962,"Region Cafetera 2"
"26","tiempo.en.colombia","Menos de 1 año",-0.0613902165051269,"Region Cafetera 2"
"27","Horas.disponibles","(39,48]",-0.0323345760433875,"Region Cafetera 2"
"28","Genero","Masculino",0.10460846429585,"Region Cafetera 2"
"29","Edad","(26,59]",-0.0140777171465366,"Region Cafetera 2"
"30","Parentesco","Otros No parientes",-0.0105093217824824,"Region Cafetera 2"
"31","Estado.civil","Soltero",-0.00105385529733703,"Region Cafetera 2"
"32","Nivel.educativo.alcanzado","Superior o universitaria",0.0198722126032226,"Region Cafetera 2"
"33","Empleo.antes","Si",0.00228047171568598,"Region Cafetera 2"
"34","Rama.actividad","Hoteles, restaurantes, bares y similares",-0.082763961228782,"Region Cafetera 2"
"35","tiempo.en.colombia","Menos de 1 año",-0.0636001436738879,"Region Cafetera 2"
"36","Horas.disponibles","(48,130]",0.0315581589349656,"Region Cafetera 2"
"37","Genero","Masculino",0.103254515185681,"Region Cafetera 2"
"38","Edad","(18,26]",0.029654738515075,"Region Cafetera 2"
"39","Parentesco","Nucleo familiar",-0.0211845813423696,"Region Cafetera 2"
"40","Estado.civil","Soltero",0.00320584480169238,"Region Cafetera 2"
"41","Nivel.educativo.alcanzado","Media (10o -13o)",0.0152680832677582,"Region Cafetera 2"
"42","Empleo.antes","Si",0.000251312329958325,"Region Cafetera 2"
"43","Rama.actividad","Elaboración de productos alimenticios",0.0629336896118246,"Region Cafetera 2"
"44","tiempo.en.colombia","Entre 1 y 5 años",0.0533888699458632,"Region Cafetera 2"
"45","Horas.disponibles","(39,48]",-0.0339822365930383,"Region Cafetera 2"
"46","Genero","Masculino",0.119131215375394,"Region Cafetera 2"
"47","Edad","(18,26]",0.05086433057242,"Region Cafetera 2"
"48","Parentesco","Otros parientes",0.0123439437210399,"Region Cafetera 2"
"49","Estado.civil","Soltero",0.00895283264814382,"Region Cafetera 2"
"50","Nivel.educativo.alcanzado","Media (10o -13o)",0.016235812546127,"Region Cafetera 2"
"51","Empleo.antes","Si",0.00493080751336812,"Region Cafetera 2"
"52","Rama.actividad","Comercio al por mayor y al por menor",0.0183424064610035,"Region Cafetera 2"
"53","tiempo.en.colombia","Menos de 1 año",-0.0752446343073839,"Region Cafetera 2"
"54","Horas.disponibles","(48,130]",0.0524834101824813,"Region Cafetera 2"
"55","Genero","Femenino",-0.111522791725462,"Region Cafetera 2"
"56","Edad","(18,26]",0.0224878489451202,"Region Cafetera 2"
"57","Parentesco","Nucleo familiar",-0.0208773833589342,"Region Cafetera 2"
"58","Estado.civil","Casado y/o union libre",0.0249200252794969,"Region Cafetera 2"
"59","Nivel.educativo.alcanzado","Superior o universitaria",0.0108997154418382,"Region Cafetera 2"
"60","Empleo.antes","Si",-0.0131090386363891,"Region Cafetera 2"
"61","Rama.actividad","Educación",0.0323088383624964,"Region Cafetera 2"
"62","tiempo.en.colombia","Entre 1 y 5 años",0.0621622273956635,"Region Cafetera 2"
"63","Horas.disponibles","(39,48]",-0.0357662945378747,"Region Cafetera 2"
"64","Genero","Masculino",0.10506798490133,"Region Cafetera 2"
"65","Edad","(26,59]",-0.0106855557188382,"Region Cafetera 2"
"66","Parentesco","Otros No parientes",-0.00792602336513181,"Region Cafetera 2"
"67","Estado.civil","Soltero",0.00551328762604665,"Region Cafetera 2"
"68","Nivel.educativo.alcanzado","Media (10o -13o)",0.00297547054026776,"Region Cafetera 2"
"69","Empleo.antes","Si",-0.00528391835381933,"Region Cafetera 2"
"70","Rama.actividad","Hoteles, restaurantes, bares y similares",-0.0870286294248433,"Region Cafetera 2"
"71","tiempo.en.colombia","Menos de 1 año",-0.0759418601409963,"Region Cafetera 2"
"72","Horas.disponibles","(39,48]",-0.0395578859352503,"Region Cafetera 2"
"73","Genero","Masculino",0.10119461144259,"Region Cafetera 2"
"74","Edad","(18,26]",0.0400058251382031,"Region Cafetera 2"
"75","Parentesco","Otros No parientes",-0.0187303559397486,"Region Cafetera 2"
"76","Estado.civil","Soltero",0.00962924801096731,"Region Cafetera 2"
"77","Nivel.educativo.alcanzado","Superior o universitaria",0.0118260653709055,"Region Cafetera 2"
"78","Empleo.antes","Si",0.00477744031081781,"Region Cafetera 2"
"79","Rama.actividad","Construcción",0.0622942621090004,"Region Cafetera 2"
"80","tiempo.en.colombia","Menos de 1 año",-0.0762877806617973,"Region Cafetera 2"
"81","Horas.disponibles","(48,130]",0.0363121468405324,"Region Cafetera 2"
"82","Genero","Masculino",0.110601502699942,"Region Cafetera 2"
"83","Edad","(26,59]",-0.0186073546590402,"Region Cafetera 2"
