"","Variable","Nivel","Valor","Departamento"
"1","Genero","Masculino",0.032101805884416,"Region Central 1"
"2","Edad","(14,18]",-0.05728106607496,"Region Central 1"
"3","Parentesco","Otros parientes",-0.0159586770767519,"Region Central 1"
"4","Estado.civil","Soltero",0.023005826743787,"Region Central 1"
"5","Nivel.educativo.alcanzado","Media (10o -13o)",-0.0121082020389073,"Region Central 1"
"6","Empleo.antes","Si",0.00392071611989761,"Region Central 1"
"7","Rama.actividad","Construcción",0.0146244861185154,"Region Central 1"
"8","tiempo.en.colombia","Menos de 1 año",-0.0839398447347031,"Region Central 1"
"9","Horas.disponibles","(48,130]",0.00827054620176578,"Region Central 1"
"10","Genero","Femenino",-0.0435005364203072,"Region Central 1"
"11","Edad","(59,100]",-0.0897691931005222,"Region Central 1"
"12","Parentesco","Jefe de hogar",0.0199548790656369,"Region Central 1"
"13","Estado.civil","Separado y/o viudo",-0.0138615544085347,"Region Central 1"
"14","Nivel.educativo.alcanzado","Media (10o -13o)",-0.0110232528579915,"Region Central 1"
"15","Empleo.antes","Si",0.00658146628765665,"Region Central 1"
"16","Rama.actividad","Comercio al por mayor y al por menor",-0.0479405365505649,"Region Central 1"
"17","tiempo.en.colombia","Entre 1 y 5 años",0.0671965627725834,"Region Central 1"
"18","Horas.disponibles","(48,130]",0.00366075208453216,"Region Central 1"
"19","Genero","Femenino",-0.0418212600797489,"Region Central 1"
"20","Edad","(18,26]",-0.0130701703826984,"Region Central 1"
"21","Parentesco","Nucleo familiar",-0.00135691630322698,"Region Central 1"
"22","Estado.civil","Casado y/o union libre",-0.0072209432244868,"Region Central 1"
"23","Nivel.educativo.alcanzado","Superior o universitaria",0.0416534305266643,"Region Central 1"
"24","Empleo.antes","Si",0.0092550698256965,"Region Central 1"
"25","Rama.actividad","Hoteles, restaurantes, bares y similares",-0.0306413279290548,"Region Central 1"
"26","tiempo.en.colombia","Menos de 1 año",-0.0904081320999529,"Region Central 1"
"27","Horas.disponibles","(48,130]",0.00579941373581314,"Region Central 1"
"28","Genero","Masculino",0.0438612863001731,"Region Central 1"
"29","Edad","(26,59]",0.0325114746725109,"Region Central 1"
"30","Parentesco","Jefe de hogar",0.0197894400772682,"Region Central 1"
"31","Estado.civil","Casado y/o union libre",-0.00390047755146147,"Region Central 1"
"32","Nivel.educativo.alcanzado","Superior o universitaria",0.0518839047272956,"Region Central 1"
"33","Empleo.antes","Si",0.000362629630872384,"Region Central 1"
"34","Rama.actividad","Transporte por vía terrestre; transporte por tuberías",-0.00306411538263735,"Region Central 1"
"35","tiempo.en.colombia","Entre 1 y 5 años",0.0757483222072596,"Region Central 1"
"36","Horas.disponibles","(39,48]",0.00102627255686254,"Region Central 1"
"37","Genero","Masculino",0.0319649099115507,"Region Central 1"
"38","Edad","(18,26]",-0.0101047458827508,"Region Central 1"
"39","Parentesco","Nucleo familiar",-0.00378814216844651,"Region Central 1"
"40","Estado.civil","Soltero",0.0171208634077119,"Region Central 1"
"41","Nivel.educativo.alcanzado","Media (10o -13o)",-0.00629386347234706,"Region Central 1"
"42","Empleo.antes","Si",-0.00230278967923187,"Region Central 1"
"43","Rama.actividad","Elaboración de productos alimenticios",0.099116889387785,"Region Central 1"
"44","tiempo.en.colombia","Menos de 1 año",-0.0817726400227232,"Region Central 1"
"45","Horas.disponibles","(39,48]",-0.00755098689728238,"Region Central 1"
"46","Genero","Femenino",-0.0388681046295058,"Region Central 1"
"47","Edad","(18,26]",-0.0103069661459513,"Region Central 1"
"48","Parentesco","Nucleo familiar",0.00266933423325752,"Region Central 1"
"49","Estado.civil","Soltero",0.0194253854884193,"Region Central 1"
"50","Nivel.educativo.alcanzado","Media (10o -13o)",-0.00537391242235367,"Region Central 1"
"51","Empleo.antes","Si",0.0129543392144466,"Region Central 1"
"52","Rama.actividad","Educación",0.0825306990523466,"Region Central 1"
"53","tiempo.en.colombia","Entre 1 y 5 años",0.0718634214523232,"Region Central 1"
"54","Horas.disponibles","(39,48]",-0.00340108632835598,"Region Central 1"
"55","Genero","Masculino",0.0308776350976775,"Region Central 1"
"56","Edad","(18,26]",-0.006021531358439,"Region Central 1"
"57","Parentesco","Otros parientes",-0.0125196160420281,"Region Central 1"
"58","Estado.civil","Casado y/o union libre",-0.00609472834088547,"Region Central 1"
"59","Nivel.educativo.alcanzado","Media (10o -13o)",-0.00584644504596078,"Region Central 1"
"60","Empleo.antes","No",-0.00210576161022707,"Region Central 1"
