"","Variable","Nivel","Valor","Departamento"
"1","Genero","Masculino",0.0101368944536229,"Region Cluster 4"
"2","Edad","(26,59]",0.00403454266942415,"Region Cluster 4"
"3","Parentesco","Jefe de hogar",-0.000858530557398464,"Region Cluster 4"
"4","Estado.civil","Casado y/o union libre",-0.0200719623221627,"Region Cluster 4"
"5","Nivel.educativo.alcanzado","Ninguno/No_sabe",-0.0143719950853608,"Region Cluster 4"
"6","Empleo.antes","Si",0.0175957863339339,"Region Cluster 4"
"7","Rama.actividad","Hoteles, restaurantes, bares y similares",0.0089220894870427,"Region Cluster 4"
"8","tiempo.en.colombia","Entre 1 y 5 años",0.00729066859141064,"Region Cluster 4"
"9","Horas.disponibles","(48,130]",0.0116047566692795,"Region Cluster 4"
"10","Genero","Femenino",-0.0143675824299327,"Region Cluster 4"
"11","Edad","(26,59]",0.00783918353286022,"Region Cluster 4"
"12","Parentesco","Nucleo familiar",0.000825848130712949,"Region Cluster 4"
"13","Estado.civil","Casado y/o union libre",-0.0128320400780958,"Region Cluster 4"
"14","Nivel.educativo.alcanzado","Básica secundaria",-0.0406095922667409,"Region Cluster 4"
"15","Empleo.antes","Si",0.0160102176375991,"Region Cluster 4"
"16","Rama.actividad","Hogares privados con servicio doméstico",-0.0540869486931138,"Region Cluster 4"
"17","tiempo.en.colombia","Entre 1 y 5 años",0.0126201804157894,"Region Cluster 4"
"18","Horas.disponibles","(39,48]",-0.00279741131546183,"Region Cluster 4"
"19","Genero","Masculino",0.0081175629389176,"Region Cluster 4"
"20","Edad","(26,59]",0.00128145387102553,"Region Cluster 4"
"21","Parentesco","Nucleo familiar",-0.00139922286978966,"Region Cluster 4"
"22","Estado.civil","Casado y/o union libre",-0.021507099783436,"Region Cluster 4"
"23","Nivel.educativo.alcanzado","Básica primaria",-0.000749711133638753,"Region Cluster 4"
"24","Empleo.antes","Si",0.015484886078438,"Region Cluster 4"
"25","Rama.actividad","Hoteles, restaurantes, bares y similares",0.0150297173628821,"Region Cluster 4"
"26","tiempo.en.colombia","Entre 1 y 5 años",0.00989867035478971,"Region Cluster 4"
"27","Horas.disponibles","(48,130]",0.0024344350835792,"Region Cluster 4"
"28","Genero","Masculino",0.00910787734518856,"Region Cluster 4"
"29","Edad","(26,59]",0.00371356280247854,"Region Cluster 4"
"30","Parentesco","Jefe de hogar",0.00277119800487896,"Region Cluster 4"
"31","Estado.civil","Casado y/o union libre",-0.0160879736778999,"Region Cluster 4"
"32","Nivel.educativo.alcanzado","Básica primaria",-0.0044391035983535,"Region Cluster 4"
"33","Empleo.antes","Si",0.0183172391318327,"Region Cluster 4"
"34","Rama.actividad","Transporte por vía terrestre; transporte por tuberías",-0.0269894489333924,"Region Cluster 4"
"35","tiempo.en.colombia","Entre 1 y 5 años",0.010702110015522,"Region Cluster 4"
"36","Horas.disponibles","(39,48]",-0.0078533192723479,"Region Cluster 4"
"37","Genero","Femenino",-0.0138436815958231,"Region Cluster 4"
"38","Edad","(18,26]",-0.0101467005486343,"Region Cluster 4"
"39","Parentesco","Otros No parientes",-0.00422267948523504,"Region Cluster 4"
"40","Estado.civil","Casado y/o union libre",-0.0122284805767546,"Region Cluster 4"
"41","Nivel.educativo.alcanzado","Media (10o -13o)",-0.000903205654402651,"Region Cluster 4"
"42","Empleo.antes","No",-0.0162455632121419,"Region Cluster 4"
"43","Rama.actividad","Hoteles, restaurantes, bares y similares",0.00229810128554247,"Region Cluster 4"
"44","tiempo.en.colombia","Entre 1 y 5 años",0.00901497740886179,"Region Cluster 4"
"45","Horas.disponibles","(0,39]",-0.0040078455553489,"Region Cluster 4"
"46","Genero","Masculino",0.005681588432774,"Region Cluster 4"
"47","Edad","(14,18]",0.00692087196887837,"Region Cluster 4"
"48","Parentesco","Nucleo familiar",0.00063521291003807,"Region Cluster 4"
"49","Estado.civil","Soltero",0.0279377267105677,"Region Cluster 4"
"50","Nivel.educativo.alcanzado","Básica secundaria",-0.0439469128826282,"Region Cluster 4"
"51","Empleo.antes","No",-0.0190349764742855,"Region Cluster 4"
"52","Rama.actividad","Comercio al por mayor y al por menor",-0.000533414739925126,"Region Cluster 4"
"53","tiempo.en.colombia","Entre 1 y 5 años",0.0164721204645883,"Region Cluster 4"
"54","Horas.disponibles","(48,130]",0.0072863100209749,"Region Cluster 4"
"55","Genero","Masculino",0.0118197268571692,"Region Cluster 4"
"56","Edad","(18,26]",0.00169557852677507,"Region Cluster 4"
"57","Parentesco","Nucleo familiar",0.0032259955900724,"Region Cluster 4"
"58","Estado.civil","Casado y/o union libre",-0.0126968261022924,"Region Cluster 4"
"59","Nivel.educativo.alcanzado","Básica primaria",-0.0095081966157801,"Region Cluster 4"
"60","Empleo.antes","Si",0.0160331661872294,"Region Cluster 4"
"61","Rama.actividad","Comercio al por mayor y al por menor",0.0030630633161785,"Region Cluster 4"
"62","tiempo.en.colombia","Entre 1 y 5 años",0.00921263306448228,"Region Cluster 4"
"63","Horas.disponibles","(48,130]",0.00227232706229953,"Region Cluster 4"
"64","Genero","Masculino",0.0112258688183347,"Region Cluster 4"
"65","Edad","(18,26]",-0.00215556536252706,"Region Cluster 4"
"66","Parentesco","Jefe de hogar",-0.00361348519636586,"Region Cluster 4"
"67","Estado.civil","Casado y/o union libre",-0.0153968705339061,"Region Cluster 4"
"68","Nivel.educativo.alcanzado","Básica secundaria",-0.0379392890412544,"Region Cluster 4"
"69","Empleo.antes","Si",0.011308813824332,"Region Cluster 4"
"70","Rama.actividad","Transporte por vía terrestre; transporte por tuberías",-0.0265307699337792,"Region Cluster 4"
"71","tiempo.en.colombia","Menos de 1 año",-0.0190945318465287,"Region Cluster 4"
"72","Horas.disponibles","(48,130]",0.00781304354345431,"Region Cluster 4"
"73","Genero","Femenino",-0.0133381226469353,"Region Cluster 4"
"74","Edad","(26,59]",0.00633289341301987,"Region Cluster 4"
"75","Parentesco","Jefe de hogar",-0.00115405317904054,"Region Cluster 4"
"76","Estado.civil","Soltero",0.0261408103418743,"Region Cluster 4"
"77","Nivel.educativo.alcanzado","Media (10o -13o)",0.00369567394173561,"Region Cluster 4"
"78","Empleo.antes","Si",0.0170792287501174,"Region Cluster 4"
"79","Rama.actividad","Hoteles, restaurantes, bares y similares",0.00825489209993436,"Region Cluster 4"
"80","tiempo.en.colombia","Entre 1 y 5 años",0.0111755999034901,"Region Cluster 4"
"81","Horas.disponibles","(48,130]",0.00620959596139987,"Region Cluster 4"
"82","Genero","Masculino",0.00924178412175337,"Region Cluster 4"
"83","Edad","(11,14]",0.000725673477622838,"Region Cluster 4"
"84","Parentesco","Nucleo familiar",0.00144030003586113,"Region Cluster 4"
"85","Estado.civil","Soltero",0.0203019959749904,"Region Cluster 4"
"86","Nivel.educativo.alcanzado","Básica secundaria",-0.0408906940606392,"Region Cluster 4"
"87","Empleo.antes","No",-0.0160045438425249,"Region Cluster 4"
"88","Rama.actividad","Comercio al por mayor y al por menor",-0.00116799354244337,"Region Cluster 4"
"89","tiempo.en.colombia","Entre 1 y 5 años",0.0122846199186652,"Region Cluster 4"
"90","Horas.disponibles","(48,130]",0.00783145752223667,"Region Cluster 4"
"91","Genero","Femenino",-0.00806674278860335,"Region Cluster 4"
"92","Edad","(26,59]",0.00316388187299919,"Region Cluster 4"
"93","Parentesco","Otros No parientes",-0.0050227962801068,"Region Cluster 4"
