"","Variable","Nivel","Valor","Departamento"
"1","Genero","Masculino",0.00454963546111059,"Region Nororiente"
"2","Edad","(26,59]",0.00558722653314445,"Region Nororiente"
"3","Parentesco","Jefe de hogar",0.000736009260229686,"Region Nororiente"
"4","Estado.civil","Casado y/o union libre",0.00349201512088205,"Region Nororiente"
"5","Nivel.educativo.alcanzado","Media (10o -13o)",0.000273511826066972,"Region Nororiente"
"6","Empleo.antes","Si",0.00719390956872342,"Region Nororiente"
"7","Rama.actividad","Construcción",-0.00263459979460197,"Region Nororiente"
"8","tiempo.en.colombia","Entre 1 y 5 años",0.00399397505884982,"Region Nororiente"
"9","Horas.disponibles","(48,130]",-0.00620380713568489,"Region Nororiente"
"10","Genero","Masculino",0.00467082128523141,"Region Nororiente"
"11","Edad","(18,26]",-0.00376941441982007,"Region Nororiente"
"12","Parentesco","Nucleo familiar",0.00146570304879871,"Region Nororiente"
"13","Estado.civil","Soltero",-0.00219538078763635,"Region Nororiente"
"14","Nivel.educativo.alcanzado","Básica secundaria",-0.00610182515893333,"Region Nororiente"
"15","Empleo.antes","Si",0.00465698739772247,"Region Nororiente"
"16","Rama.actividad","Construcción",-0.00244079951206101,"Region Nororiente"
"17","tiempo.en.colombia","Entre 1 y 5 años",0.00361856761990644,"Region Nororiente"
"18","Horas.disponibles","(48,130]",-0.00674311873677978,"Region Nororiente"
"19","Genero","Masculino",0.0059409951834543,"Region Nororiente"
"20","Edad","(26,59]",0.00559724537610505,"Region Nororiente"
"21","Parentesco","Jefe de hogar",0.00312723049970771,"Region Nororiente"
"22","Estado.civil","Casado y/o union libre",0.00107694167389689,"Region Nororiente"
"23","Nivel.educativo.alcanzado","Media (10o -13o)",-0.00078828815721159,"Region Nororiente"
"24","Empleo.antes","Si",0.00616118803912007,"Region Nororiente"
"25","Rama.actividad","Comercio al por mayor y al por menor",-0.000665622869557837,"Region Nororiente"
"26","tiempo.en.colombia","Entre 1 y 5 años",0.00293956632091231,"Region Nororiente"
"27","Horas.disponibles","(48,130]",-0.00581981305610396,"Region Nororiente"
"28","Genero","Femenino",-0.00542507108151263,"Region Nororiente"
"29","Edad","(18,26]",-0.00419497436815909,"Region Nororiente"
"30","Parentesco","Otros parientes",-0.00139372144135168,"Region Nororiente"
"31","Estado.civil","Casado y/o union libre",0.0019785130974856,"Region Nororiente"
"32","Nivel.educativo.alcanzado","Media (10o -13o)",0.000626184521779509,"Region Nororiente"
"33","Empleo.antes","No",-0.00550691252416186,"Region Nororiente"
"34","Rama.actividad","Hoteles, restaurantes, bares y similares",-0.00294979568934855,"Region Nororiente"
"35","tiempo.en.colombia","Entre 1 y 5 años",0.00340236527376619,"Region Nororiente"
"36","Horas.disponibles","(39,48]",0.00749147520663532,"Region Nororiente"
"37","Genero","Masculino",0.0049125044064188,"Region Nororiente"
"38","Edad","(26,59]",0.00472125639277827,"Region Nororiente"
"39","Parentesco","Otros No parientes",-0.00187250670292049,"Region Nororiente"
"40","Estado.civil","Casado y/o union libre",0.00159842919181738,"Region Nororiente"
"41","Nivel.educativo.alcanzado","Media (10o -13o)",0.000582372602773039,"Region Nororiente"
"42","Empleo.antes","Si",0.00606165953242663,"Region Nororiente"
"43","Rama.actividad","Comercio al por mayor y al por menor",7.89153919831395e-05,"Region Nororiente"
"44","tiempo.en.colombia","Menos de 1 año",-0.00902029627248053,"Region Nororiente"
"45","Horas.disponibles","(48,130]",-0.00742576854946256,"Region Nororiente"
"46","Genero","Femenino",-0.00415073374325649,"Region Nororiente"
"47","Edad","(26,59]",0.00624459523967084,"Region Nororiente"
"48","Parentesco","Jefe de hogar",0.00206118101955198,"Region Nororiente"
"49","Estado.civil","Casado y/o union libre",0.00193448412502043,"Region Nororiente"
"50","Nivel.educativo.alcanzado","Básica primaria",-0.00158013799257792,"Region Nororiente"
"51","Empleo.antes","Si",0.00516988649744787,"Region Nororiente"
"52","Rama.actividad","Hoteles, restaurantes, bares y similares",-0.00419667165442429,"Region Nororiente"
"53","tiempo.en.colombia","Entre 1 y 5 años",0.00344815028983847,"Region Nororiente"
"54","Horas.disponibles","(39,48]",0.00710764000221681,"Region Nororiente"
"55","Genero","Masculino",0.00511726195476419,"Region Nororiente"
"56","Edad","(26,59]",0.00480312756132219,"Region Nororiente"
"57","Parentesco","Nucleo familiar",6.3729065130376e-05,"Region Nororiente"
"58","Estado.civil","Casado y/o union libre",0.00210173625362597,"Region Nororiente"
"59","Nivel.educativo.alcanzado","Media (10o -13o)",-0.00169838352534257,"Region Nororiente"
"60","Empleo.antes","Si",0.00625475249336975,"Region Nororiente"
"61","Rama.actividad","Construcción",-0.00112913794030665,"Region Nororiente"
"62","tiempo.en.colombia","Menos de 1 año",-0.00940593369477131,"Region Nororiente"
"63","Horas.disponibles","(39,48]",0.00721185385296926,"Region Nororiente"
"64","Genero","Femenino",-0.00550228236959536,"Region Nororiente"
"65","Edad","(26,59]",0.00508100028872319,"Region Nororiente"
"66","Parentesco","Nucleo familiar",-0.000793756074372024,"Region Nororiente"
"67","Estado.civil","Casado y/o union libre",0.00209997738565592,"Region Nororiente"
"68","Nivel.educativo.alcanzado","Media (10o -13o)",-0.00111249101363209,"Region Nororiente"
"69","Empleo.antes","Si",0.00650251352701008,"Region Nororiente"
"70","Rama.actividad","Curtido y preparado de cueros, trabajar con cuero",-0.00348517316670362,"Region Nororiente"
"71","tiempo.en.colombia","Entre 1 y 5 años",0.00519085709187625,"Region Nororiente"
"72","Horas.disponibles","(0,39]",-0.00312298519278555,"Region Nororiente"
"73","Genero","Masculino",0.00544346099897005,"Region Nororiente"
"74","Edad","(26,59]",0.00504980107549387,"Region Nororiente"
"75","Parentesco","Jefe de hogar",0.00106384638272938,"Region Nororiente"
"76","Estado.civil","Casado y/o union libre",0.00130045602666713,"Region Nororiente"
"77","Nivel.educativo.alcanzado","Media (10o -13o)",-0.001135821099566,"Region Nororiente"
"78","Empleo.antes","Si",0.00653823157456439,"Region Nororiente"
"79","Rama.actividad","Transporte por vía terrestre; transporte por tuberías",-0.00419211352260091,"Region Nororiente"
"80","tiempo.en.colombia","Entre 1 y 5 años",0.00390309717414516,"Region Nororiente"
"81","Horas.disponibles","(48,130]",-0.00679250302350991,"Region Nororiente"
"82","Genero","Masculino",0.00570167660696315,"Region Nororiente"
"83","Edad","(26,59]",0.00538528245435098,"Region Nororiente"
"84","Parentesco","Jefe de hogar",0.00243227330411356,"Region Nororiente"
"85","Estado.civil","Casado y/o union libre",0.00229519744743996,"Region Nororiente"
"86","Nivel.educativo.alcanzado","Básica secundaria",-0.00633714597891374,"Region Nororiente"
"87","Empleo.antes","Si",0.00582159834446052,"Region Nororiente"
"88","Rama.actividad","Comercio al por mayor y al por menor",-0.000706818643379369,"Region Nororiente"
"89","tiempo.en.colombia","Entre 1 y 5 años",0.00288577677563518,"Region Nororiente"
"90","Horas.disponibles","(48,130]",-0.00754025074533393,"Region Nororiente"
"91","Genero","Masculino",0.00485080099814551,"Region Nororiente"
"92","Edad","(26,59]",0.00530675838884808,"Region Nororiente"
"93","Parentesco","Jefe de hogar",0.00241981380760228,"Region Nororiente"
"94","Estado.civil","Separado y/o viudo",-0.00154276606572547,"Region Nororiente"
"95","Nivel.educativo.alcanzado","Básica secundaria",-0.00559230153228566,"Region Nororiente"
"96","Empleo.antes","Si",0.00504474844015128,"Region Nororiente"
"97","Rama.actividad","Otras actividades de servicios",-0.00937039010220836,"Region Nororiente"
"98","tiempo.en.colombia","Entre 1 y 5 años",0.00377678591797538,"Region Nororiente"
"99","Horas.disponibles","(48,130]",-0.00679405876277885,"Region Nororiente"
"100","Genero","Masculino",0.0052664770560283,"Region Nororiente"
"101","Edad","(18,26]",-0.00396836508911934,"Region Nororiente"
"102","Parentesco","Jefe de hogar",0.0027368518135003,"Region Nororiente"
"103","Estado.civil","Casado y/o union libre",0.000934134671843329,"Region Nororiente"
"104","Nivel.educativo.alcanzado","Básica secundaria",-0.00572795028029341,"Region Nororiente"
"105","Empleo.antes","Si",0.00463392127519514,"Region Nororiente"
"106","Rama.actividad","Comercio al por mayor y al por menor",0.000368196150893538,"Region Nororiente"
"107","tiempo.en.colombia","Menos de 1 año",-0.00769875389444878,"Region Nororiente"
"108","Horas.disponibles","(48,130]",-0.00726614930124106,"Region Nororiente"
"109","Genero","Femenino",-0.00574302507377359,"Region Nororiente"
"110","Edad","(18,26]",-0.00401733442229161,"Region Nororiente"
"111","Parentesco","Nucleo familiar",0.000237947282953906,"Region Nororiente"
"112","Estado.civil","Soltero",0.000130009637989593,"Region Nororiente"
"113","Nivel.educativo.alcanzado","Superior o universitaria",0.00784995386375906,"Region Nororiente"
"114","Empleo.antes","Si",0.00423156778171064,"Region Nororiente"
"115","Rama.actividad","Comercio al por mayor y al por menor",-1.76073919478807e-05,"Region Nororiente"
"116","tiempo.en.colombia","Menos de 1 año",-0.00712242649849062,"Region Nororiente"
"117","Horas.disponibles","(39,48]",0.00707195199620002,"Region Nororiente"
"118","Genero","Masculino",0.0038134636611327,"Region Nororiente"
"119","Edad","(26,59]",0.00452542713900155,"Region Nororiente"
"120","Parentesco","Nucleo familiar",-0.000457046779286005,"Region Nororiente"
"121","Estado.civil","Casado y/o union libre",0.00117797453783197,"Region Nororiente"
"122","Nivel.educativo.alcanzado","Media (10o -13o)",-0.000240008962657042,"Region Nororiente"
"123","Empleo.antes","Si",0.00432670031661734,"Region Nororiente"
"124","Rama.actividad","Hoteles, restaurantes, bares y similares",-0.00214180303832754,"Region Nororiente"
"125","tiempo.en.colombia","Entre 1 y 5 años",0.00335422171927607,"Region Nororiente"
"126","Horas.disponibles","(0,39]",-0.00171439002776594,"Region Nororiente"
"127","Genero","Masculino",0.00492332062724508,"Region Nororiente"
"128","Edad","(26,59]",0.00483429664495723,"Region Nororiente"
"129","Parentesco","Otros No parientes",-0.000917084917883249,"Region Nororiente"
"130","Estado.civil","Separado y/o viudo",-0.00198240147800817,"Region Nororiente"
"131","Nivel.educativo.alcanzado","Básica primaria",-0.00166679376889487,"Region Nororiente"
"132","Empleo.antes","Si",0.00754724998375728,"Region Nororiente"
"133","Rama.actividad","Agricultura, ganadería y caza",-0.00117675905129165,"Region Nororiente"
"134","tiempo.en.colombia","Menos de 1 año",-0.0089485939947271,"Region Nororiente"
"135","Horas.disponibles","(48,130]",-0.00592900054336172,"Region Nororiente"
"136","Genero","Masculino",0.00477899835449471,"Region Nororiente"
"137","Edad","(26,59]",0.00428731780715827,"Region Nororiente"
"138","Parentesco","Jefe de hogar",0.00291382160798352,"Region Nororiente"
"139","Estado.civil","Casado y/o union libre",0.00208807995592294,"Region Nororiente"
"140","Nivel.educativo.alcanzado","Básica secundaria",-0.00637270858646687,"Region Nororiente"
"141","Empleo.antes","Si",0.00579308290275196,"Region Nororiente"
"142","Rama.actividad","Hoteles, restaurantes, bares y similares",-0.00309248617015609,"Region Nororiente"
"143","tiempo.en.colombia","Entre 1 y 5 años",0.00429598840680602,"Region Nororiente"
"144","Horas.disponibles","(48,130]",-0.00776841737865126,"Region Nororiente"
"145","Genero","Masculino",0.00467271353463394,"Region Nororiente"
"146","Edad","(26,59]",0.00594486233650576,"Region Nororiente"
"147","Parentesco","Otros No parientes",-0.000474361670157768,"Region Nororiente"
"148","Estado.civil","Casado y/o union libre",0.00205281627254238,"Region Nororiente"
"149","Nivel.educativo.alcanzado","Básica secundaria",-0.00466102064673397,"Region Nororiente"
"150","Empleo.antes","Si",0.00734228920072102,"Region Nororiente"
"151","Rama.actividad","Hoteles, restaurantes, bares y similares",-0.00256676953648775,"Region Nororiente"
"152","tiempo.en.colombia","Entre 1 y 5 años",0.00392947535354067,"Region Nororiente"
"153","Horas.disponibles","(48,130]",-0.00698767750310476,"Region Nororiente"
"154","Genero","Masculino",0.00475501867177993,"Region Nororiente"
"155","Edad","(26,59]",0.00434931780666174,"Region Nororiente"
"156","Parentesco","Jefe de hogar",0.00190391075742277,"Region Nororiente"
"157","Estado.civil","Casado y/o union libre",0.00165924591506299,"Region Nororiente"
"158","Nivel.educativo.alcanzado","Básica primaria",-0.00159625559896096,"Region Nororiente"
"159","Empleo.antes","Si",0.00355473300322977,"Region Nororiente"
"160","Rama.actividad","Comercio al por mayor y al por menor",0.000455163449251482,"Region Nororiente"
"161","tiempo.en.colombia","Entre 1 y 5 años",0.00298949398230909,"Region Nororiente"
"162","Horas.disponibles","(39,48]",0.00782612620801622,"Region Nororiente"
"163","Genero","Masculino",0.00503037264049091,"Region Nororiente"
"164","Edad","(18,26]",-0.00352275811969645,"Region Nororiente"
"165","Parentesco","Otros parientes",-0.000613275327197792,"Region Nororiente"
"166","Estado.civil","Soltero",-0.00231449568840588,"Region Nororiente"
"167","Nivel.educativo.alcanzado","Superior o universitaria",0.00743084710245463,"Region Nororiente"
"168","Empleo.antes","Si",0.00654335571625767,"Region Nororiente"
"169","Rama.actividad","Comercio al por mayor y al por menor",-0.00139547052025831,"Region Nororiente"
"170","tiempo.en.colombia","Entre 1 y 5 años",0.00389851841496023,"Region Nororiente"
"171","Horas.disponibles","(48,130]",-0.00573940400622665,"Region Nororiente"
"172","Genero","Femenino",-0.00590891732913634,"Region Nororiente"
"173","Edad","(26,59]",0.00534903528493417,"Region Nororiente"
"174","Parentesco","Otros No parientes",-0.00194482870994439,"Region Nororiente"
"175","Estado.civil","Casado y/o union libre",0.00192503988950629,"Region Nororiente"
"176","Nivel.educativo.alcanzado","Media (10o -13o)",0.0003654022196344,"Region Nororiente"
"177","Empleo.antes","Si",0.00717229171265799,"Region Nororiente"
"178","Rama.actividad","Otras actividades de servicios",-0.00976373154767751,"Region Nororiente"
"179","tiempo.en.colombia","Menos de 1 año",-0.00808375221156416,"Region Nororiente"
"180","Horas.disponibles","(39,48]",0.00883508435515108,"Region Nororiente"
"181","Genero","Masculino",0.00492614666998814,"Region Nororiente"
"182","Edad","(26,59]",0.00466138717044657,"Region Nororiente"
"183","Parentesco","Jefe de hogar",0.00167207494286639,"Region Nororiente"
"184","Estado.civil","Casado y/o union libre",0.00157567181220299,"Region Nororiente"
"185","Nivel.educativo.alcanzado","Media (10o -13o)",0.00104541476692619,"Region Nororiente"
"186","Empleo.antes","Si",0.00775994641864421,"Region Nororiente"
"187","Rama.actividad","Comercio al por mayor y al por menor",-0.000276140748010685,"Region Nororiente"
"188","tiempo.en.colombia","Entre 1 y 5 años",0.0046939559959213,"Region Nororiente"
"189","Horas.disponibles","(48,130]",-0.00618265003841297,"Region Nororiente"
"190","Genero","Femenino",-0.00469237687253968,"Region Nororiente"
"191","Edad","(18,26]",-0.0028284712668965,"Region Nororiente"
"192","Parentesco","Nucleo familiar",-0.0010931138692497,"Region Nororiente"
"193","Estado.civil","Casado y/o union libre",0.00139404101901351,"Region Nororiente"
"194","Nivel.educativo.alcanzado","Media (10o -13o)",-0.000616858686149709,"Region Nororiente"
"195","Empleo.antes","Si",0.00639152942853849,"Region Nororiente"
"196","Rama.actividad","Actividades auxiliares de la intermediación financiera",-0.00294218288171459,"Region Nororiente"
"197","tiempo.en.colombia","Entre 1 y 5 años",0.00366079591343828,"Region Nororiente"
"198","Horas.disponibles","(48,130]",-0.0064912049716789,"Region Nororiente"
"199","Genero","Masculino",0.00543011650164114,"Region Nororiente"
"200","Edad","(26,59]",0.00449002224401062,"Region Nororiente"
"201","Parentesco","Nucleo familiar",-4.70476274776068e-05,"Region Nororiente"
"202","Estado.civil","Casado y/o union libre",0.00298474879563149,"Region Nororiente"
"203","Nivel.educativo.alcanzado","Superior o universitaria",0.00918745140257189,"Region Nororiente"
"204","Empleo.antes","Si",0.00542683285992213,"Region Nororiente"
"205","Rama.actividad","Hoteles, restaurantes, bares y similares",-0.00450429698803967,"Region Nororiente"
"206","tiempo.en.colombia","Entre 1 y 5 años",0.00401994386613736,"Region Nororiente"
"207","Horas.disponibles","(48,130]",-0.00826283603315398,"Region Nororiente"
"208","Genero","Femenino",-0.00457349569479934,"Region Nororiente"
"209","Edad","(26,59]",0.00470274390907284,"Region Nororiente"
"210","Parentesco","Otros parientes",-0.00253686263201936,"Region Nororiente"
"211","Estado.civil","Separado y/o viudo",-0.00154953454438194,"Region Nororiente"
"212","Nivel.educativo.alcanzado","Básica secundaria",-0.00604717114312242,"Region Nororiente"
"213","Empleo.antes","Si",0.00692460441597117,"Region Nororiente"
"214","Rama.actividad","Hogares privados con servicio doméstico",-0.00800481344240075,"Region Nororiente"
"215","tiempo.en.colombia","Menos de 1 año",-0.00935023385635884,"Region Nororiente"
"216","Horas.disponibles","(39,48]",0.00709532229113665,"Region Nororiente"
"217","Genero","Femenino",-0.00596723039795608,"Region Nororiente"
"218","Edad","(26,59]",0.0036139501584269,"Region Nororiente"
"219","Parentesco","Nucleo familiar",-0.000800622222815491,"Region Nororiente"
"220","Estado.civil","Casado y/o union libre",0.00188791565298505,"Region Nororiente"
"221","Nivel.educativo.alcanzado","Superior o universitaria",0.00869309169657985,"Region Nororiente"
"222","Empleo.antes","Si",0.00332493527762753,"Region Nororiente"
"223","Rama.actividad","Hogares privados con servicio doméstico",-0.00803459640067886,"Region Nororiente"
"224","tiempo.en.colombia","Entre 1 y 5 años",0.00439546997866839,"Region Nororiente"
"225","Horas.disponibles","(39,48]",0.00735167847557324,"Region Nororiente"
"226","Genero","Masculino",0.00540214777763311,"Region Nororiente"
"227","Edad","(18,26]",-0.00439265782668348,"Region Nororiente"
"228","Parentesco","Jefe de hogar",0.0022184755488682,"Region Nororiente"
"229","Estado.civil","Casado y/o union libre",0.0029064971749593,"Region Nororiente"
"230","Nivel.educativo.alcanzado","Básica secundaria",-0.0039463807611594,"Region Nororiente"
