"","Variable","Nivel","Valor","Departamento"
"1","Genero","Masculino",0.0486101495641411,"Region Norte 1"
"2","Edad","(59,100]",-0.05801854733781,"Region Norte 1"
"3","Parentesco","Otros parientes",0.0118071659891206,"Region Norte 1"
"4","Estado.civil","Casado y/o union libre",-0.0169897916002195,"Region Norte 1"
"5","Nivel.educativo.alcanzado","Media (10o -13o)",0.0273622992850895,"Region Norte 1"
"6","Empleo.antes","Si",0.0389989945738911,"Region Norte 1"
"7","Rama.actividad","Transporte por vía terrestre; transporte por tuberías",-0.104839845330598,"Region Norte 1"
"8","tiempo.en.colombia","Entre 1 y 5 años",0.0147912856051682,"Region Norte 1"
"9","Horas.disponibles","(39,48]",-0.0020999539633183,"Region Norte 1"
"10","Genero","Femenino",-0.0503244735412321,"Region Norte 1"
"11","Edad","(26,59]",0.0174802480476919,"Region Norte 1"
"12","Parentesco","Otros No parientes",-0.0241667598608189,"Region Norte 1"
"13","Estado.civil","Soltero",0.0330587963507631,"Region Norte 1"
"14","Nivel.educativo.alcanzado","Básica secundaria",-0.0659854667888322,"Region Norte 1"
"15","Empleo.antes","Si",0.0370693604507674,"Region Norte 1"
"16","Rama.actividad","Hoteles, restaurantes, bares y similares",0.0580585858331441,"Region Norte 1"
"17","tiempo.en.colombia","Menos de 1 año",-0.0349109319308109,"Region Norte 1"
"18","Horas.disponibles","(0,39]",-0.0335279347098343,"Region Norte 1"
"19","Genero","Masculino",0.0404975363988554,"Region Norte 1"
"20","Edad","(26,59]",0.0214533048425921,"Region Norte 1"
"21","Parentesco","Otros parientes",0.00411695230193831,"Region Norte 1"
"22","Estado.civil","Casado y/o union libre",-0.0177970768670425,"Region Norte 1"
"23","Nivel.educativo.alcanzado","Básica primaria",-0.0333819345871582,"Region Norte 1"
"24","Empleo.antes","No",-0.0426489896094989,"Region Norte 1"
"25","Rama.actividad","Construcción",0.0104362447123868,"Region Norte 1"
"26","tiempo.en.colombia","Entre 1 y 5 años",0.0210067493439588,"Region Norte 1"
"27","Horas.disponibles","(39,48]",0.00192317934914783,"Region Norte 1"
"28","Genero","Masculino",0.050978349396687,"Region Norte 1"
"29","Edad","(18,26]",-0.00267410343028811,"Region Norte 1"
"30","Parentesco","Otros parientes",0.00615154595186229,"Region Norte 1"
"31","Estado.civil","Casado y/o union libre",-0.017681870687409,"Region Norte 1"
"32","Nivel.educativo.alcanzado","Media (10o -13o)",0.0315721706248194,"Region Norte 1"
"33","Empleo.antes","Si",0.0367584802791837,"Region Norte 1"
"34","Rama.actividad","Fabricación de productos de metal",0.0277869694846401,"Region Norte 1"
"35","tiempo.en.colombia","Menos de 1 año",-0.0395462094907598,"Region Norte 1"
"36","Horas.disponibles","(39,48]",0.0055116872670984,"Region Norte 1"
"37","Genero","Femenino",-0.0467866979598008,"Region Norte 1"
"38","Edad","(18,26]",-0.00844879356072567,"Region Norte 1"
"39","Parentesco","Otros No parientes",-0.0185767868702171,"Region Norte 1"
"40","Estado.civil","Casado y/o union libre",-0.0119923786679405,"Region Norte 1"
"41","Nivel.educativo.alcanzado","Media (10o -13o)",0.0280705364111461,"Region Norte 1"
"42","Empleo.antes","Si",0.0363450733439087,"Region Norte 1"
"43","Rama.actividad","Hogares privados con servicio doméstico",-0.135362347117174,"Region Norte 1"
"44","tiempo.en.colombia","Entre 1 y 5 años",0.0164327340736546,"Region Norte 1"
