"","Variable","Nivel","Valor","Departamento"
"1","Genero","Masculino",0.0413506326934919,"Region Suroccidente"
"2","Edad","(26,59]",-0.0406003144027228,"Region Suroccidente"
"3","Parentesco","Nucleo familiar",-0.00360516652567275,"Region Suroccidente"
"4","Estado.civil","Casado y/o union libre",0.000808174585074216,"Region Suroccidente"
"5","Nivel.educativo.alcanzado","Básica secundaria",-0.014841523396741,"Region Suroccidente"
"6","Empleo.antes","Si",0.0127861065780151,"Region Suroccidente"
"7","Rama.actividad","Construcción",-0.046912803247996,"Region Suroccidente"
"8","tiempo.en.colombia","Menos de 1 año",0.000289467958069387,"Region Suroccidente"
"9","Horas.disponibles","(39,48]",0.00985074561849505,"Region Suroccidente"
"10","Genero","Masculino",0.0393023756040811,"Region Suroccidente"
"11","Edad","(26,59]",-0.0556884516701392,"Region Suroccidente"
"12","Parentesco","Jefe de hogar",-0.0116201060266327,"Region Suroccidente"
"13","Estado.civil","Casado y/o union libre",-0.00244796187212081,"Region Suroccidente"
"14","Nivel.educativo.alcanzado","Superior o universitaria",0.0512941457468674,"Region Suroccidente"
"15","Empleo.antes","Si",0.00955774477212855,"Region Suroccidente"
"16","Rama.actividad","Hoteles, restaurantes, bares y similares",0.119209134051074,"Region Suroccidente"
"17","tiempo.en.colombia","Menos de 1 año",0.00422944866441107,"Region Suroccidente"
"18","Horas.disponibles","(39,48]",-0.00278756331198968,"Region Suroccidente"
"19","Genero","Femenino",-0.0328820637222961,"Region Suroccidente"
"20","Edad","(26,59]",-0.039440651942642,"Region Suroccidente"
"21","Parentesco","Nucleo familiar",-0.00738905007043509,"Region Suroccidente"
"22","Estado.civil","Casado y/o union libre",-0.00884383829422605,"Region Suroccidente"
"23","Nivel.educativo.alcanzado","Media (10o -13o)",-0.0184006639678576,"Region Suroccidente"
"24","Empleo.antes","No",-0.0123311421484761,"Region Suroccidente"
"25","Rama.actividad","Comercio al por mayor y al por menor",-0.0621665843633527,"Region Suroccidente"
"26","tiempo.en.colombia","Entre 1 y 5 años",0.000239197334586719,"Region Suroccidente"
"27","Horas.disponibles","(0,39]",-0.0120424976297654,"Region Suroccidente"
"28","Genero","Femenino",-0.0376261493012575,"Region Suroccidente"
"29","Edad","(18,26]",0.0457819106363274,"Region Suroccidente"
"30","Parentesco","Otros No parientes",0.0446464305802071,"Region Suroccidente"
"31","Estado.civil","Soltero",0.00496637912780911,"Region Suroccidente"
"32","Nivel.educativo.alcanzado","Media (10o -13o)",-0.0192002114758007,"Region Suroccidente"
"33","Empleo.antes","Si",0.0104036860119457,"Region Suroccidente"
"34","Rama.actividad","Hoteles, restaurantes, bares y similares",0.109932490205973,"Region Suroccidente"
"35","tiempo.en.colombia","Menos de 1 año",0.000674966459682678,"Region Suroccidente"
"36","Horas.disponibles","(39,48]",-0.0112128348021588,"Region Suroccidente"
"37","Genero","Femenino",-0.0365832356318066,"Region Suroccidente"
"38","Edad","(26,59]",-0.0243256197591781,"Region Suroccidente"
"39","Parentesco","Jefe de hogar",-0.0157105130289936,"Region Suroccidente"
"40","Estado.civil","Soltero",0.00665066575634915,"Region Suroccidente"
"41","Nivel.educativo.alcanzado","Media (10o -13o)",-0.0247439440462854,"Region Suroccidente"
"42","Empleo.antes","Si",0.00687109377346404,"Region Suroccidente"
"43","Rama.actividad","Hoteles, restaurantes, bares y similares",0.103503246829988,"Region Suroccidente"
"44","tiempo.en.colombia","Entre 1 y 5 años",-0.00688190791054612,"Region Suroccidente"
"45","Horas.disponibles","(39,48]",-0.00693585320883838,"Region Suroccidente"
"46","Genero","Masculino",0.0383130984114641,"Region Suroccidente"
"47","Edad","(26,59]",-0.0504956486990827,"Region Suroccidente"
"48","Parentesco","Otros parientes",-0.00111672171266226,"Region Suroccidente"
"49","Estado.civil","Casado y/o union libre",-0.00645813575710555,"Region Suroccidente"
"50","Nivel.educativo.alcanzado","Media (10o -13o)",-0.027553606194857,"Region Suroccidente"
"51","Empleo.antes","Si",0.0108485944174505,"Region Suroccidente"
"52","Rama.actividad","Fabricación de productos de metal",-0.0149091162195245,"Region Suroccidente"
"53","tiempo.en.colombia","Menos de 1 año",-0.00264152218782205,"Region Suroccidente"
"54","Horas.disponibles","(39,48]",-0.00215268805993035,"Region Suroccidente"
"55","Genero","Femenino",-0.0315120069500148,"Region Suroccidente"
