"","id","coment2","coment4","coment6","coment8","coment10","coment12","coment14","coment16","coment18","coment20","coment22","coment24","coment26","coment29","coment31"
"1",1,"Una buena opción de comida “saludable” y con poca opción vegana, en especial en las proteínas. la atención es súper rápida, personal muy atento y servicial. Ingredientes frescos, con muy buenas opciones, los wraps recomendados. Ofrecen desayunos, almuerzos, snack, pizzas, batidos, entre otros. Se puede...pagar con efectivo o tarjeta. Seguramente volveré.Más","Gratamente encontre este sitio, muy saludable rompe con los esquemas tradicionales de comida. puedes comer saludable y con muy buen sabor, ademas quedas satisfecho","Buena ubicación, el local con buena distribución y ambiente. Las diferentes opciones y lo mejor la frescura de sus productos hacen que los platos sean primero buen vistos y luego exquisitos al paladar. La atención inmejorable. Se recomienda.","Las opciones de comida muy deliciosas y todo fresco. Buena atencion de los empleados. Los jugos deliciosos y de muchas combinaciones. Locacion comoda y agradable","Me encanta las opciones sanas que tiene para comer. La pizza deliciosa los wraps también y lo mejor  tu armas  lo que quieres comer","Muy buena opción para todos que coman comida FIT y que sean vegetarianos.... se encuentra buena comida.","Un sentimiento de tranquilidad y sana satisfacción culinaria inundan al visitante, ya que su comida saludable, rica y ambiente agradable no pasan desapercibidos.","Solo, acompañado y a cualquier hora del día. Simplemente delicioso. Sin importar su estilo de vida y/o alimentación, aquí encontrarás una buena opción. Excelente servicio y buenos precios.","No es la primera vez que voy   Me ha gustado el sistema de armar lo que tú quieras comer los vegetales que a ti te gustan con o sin salsa.  Las pizzas deliciosas me encantan los jugos naturales y sin agua   Super","Amo la carne. Pero me encantan las verduras. estaba encantado de encontrar esta comida fresca,sana y lo mejor deliciosa. Lugar limpio ensaladas frescas y envolturas vegetarianas.",NA,NA,NA,NA,NA
"2",2,"Este lugar me había parecido muy bueno, pero la calidad bajó considerablemente, un lomo de 250 gr no tiene ni el peso de medio de eso, para completar término medio lo sirven a término well done, a demás de abierto para que pierda todos los...jugos. Espantoso, al menos aceptaron la devolución del plato. No lo recomiendo, la idea buena, la ejecución deja mucho que desearMás","Pedí a domicilio unos brownies de Mimi y me los trajeron en plena pandemia abiertos y con MOHO. Una falta de TODO","Iba de paso por Barranquilla y llegué aquí por una ensalada rápida, la atención fue genial y el sabor de la comida excelente. Además, compré productos para mi merienda en el viaje, muy completo y excelente servicio.","Esperamos 1 hora para tres limonada nunca llegaron, nos tocó levantarnos por los platos y unas botellas de agua. La comida nada especial. No lo recomiendo","Cabe aclarar que visitamos el de Cartagena, pero no lo encontré en la app y no quise dejar pasar la portunidad para dejar mi comentario. 

Después de una mojarra negra a la orilla de la playa, una de mis. Amigas decidió invitar un helado ""el...mejor helado que se han comido en sus vidas"", debo reconocer que este helado de máquina con sabor a maní es delicioso! Pará ser saludable / fit / bajo en grasas o como quieran llamarlo.

Además, el lugar es muy acogedor y aprovechamos para comprar.Más","Las porciones son generosas. Recomendado el chicken taco y el fit breaded chicken. El postre de leche de almendra es delicioso. Deben mejorar la atención, lentos para limpiar y estar pendientes de las necesidades de los clientes.","A mi me encanta! Encuentro miles de productos saludables. La pizza con masa saludable que se pide por Rappi es fantástica!","Estuve allí el sábado pasado. Una de tantas veces que he ido. Y siempre voy porque me venía gustando su concepto saludable. Pero...oh!, sorpresa!, en la terraza estaban unos extranjeros, de los cuales uno estaba fumando un habano: me sentí como en una casa donde...se practica brujería. El olor de tabaco rancio era insoportable. Exigí entonces a los encargados que obligaran a esa persona a apagar el habano o a irse del sitio, haciendo valer mi derecho de no fumador, como así lo postula la norma (ley 1335 de 2009), me respondieron con una cara de incertidumbre, dejándome claro que no tenían idea alguna de esa ley, a la cual deben ajustarse  por ser un establecimiento de comercio abierto al público, y aún más por su objeto social. Pero no culpo a los que estaban a esa hora atendiendo el local, porque es evidente que responden al precario compromiso con el consumidor que tiene la mayoría de los propietarios de los negocios de esta rochela llamada Barranquilla. Y cuando por fin se convencieron de que debían obligar al fumador a apagar el habano, se lo exigieron con tanta reverencia, vergüenza y complejo, que hasta le permitieron que se fumara en pedacito que le faltaba, para que que no se molestara el muy ignorante. Y todo, porque era un extranjero. Toda una exposición de la más patética colombianada y desafirmación cultural, como en su momento lo denunciaba David Sánchez Juliao. ¿Que si voy a volver? No sé. Ese día me sentí muy frustrado.Más","Esta es la mejor comida fit que hay en barranquilla. Aparte es un mercadito fit muy bien surtido. Muy lindo el lugar, buen ambiente y buen sabor. Recomendadisimo!!","Comida DELICIOSA! una opción saludable pero rica... recomiendo el salmón, el sushi y las hamburguesas, aunque en general todo es excelente. La atención es muy buena  y el concepto de restaurante-mercado es un hit!. 

Vuelvo siempre!",NA,NA,NA,NA,NA
"3",3,"Es un muy buen ambiente, agradable, limpio, tiene comida deliciosa y con sabores muy buenos, comer sano nunca antes había sido tan rico, los precios están bien, el personal es atento, el lugar es autoservicio, es comida rápida pero sana.","Es una buena opción si se quiere comer algo rico, pero bajo en calorías. Encontré buena la calidad de la comida","Una buena opción para mantenerse saludable. Recomenada cualquier ensalada cryspi con pollo o mariscos. Delicosos batidos.","Los wraps y las ensaladas son muy buenas. Los jugos se nota lo saludable en el sabor! Hay que probarlos todos!
La quinoa muy bien preparada","Siempre esta lleno, todo es rico, super saludable sus opciones, pero siempre encontaras esto lleno es como para comprar e irte, muy pequeño, esta dentro de un centro comercial y es una buena opcion rapida y saludable, sus wraps son muy ricos, el desayuno aqui...es buena opcion ya que esta mas vacio y puedes encontrar donde sentarte y estar comodo un rato aqui disfrutando de las delicidas fit.Más",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Sitio chevere, relajado, ensaladas generosas, recomiendo la tostada con salsa de ciruela y Serrano, deli. Buenos sándwiches. Torta de banano muy seca y limonada de corozo  muy normal. Precios razonables.  Nos atendieron muy bien.","Una buena alternativa saludable... las pizzas son un hit, deliciosas y crocantes ufffffff RECOMENDADISIMO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Super saludable, no solo es un lugar donde puedes ir a consumir alimentos saludables si no, te ayudan a crear tus propios habitos alimenticios que puedes seguir en casa. No es tema de dieta, es un estilo de vida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"La atención del personal no es muy buena, para nada amables y demasiado demorada, habíamos muy pocos clientes (3) y demoraron más de 20 minutos en un plato sencillo. La administración o dueños del lugar deben prestar más atención a esto, la comida es deliciosa...pero la atención al consumidor daña todo.Más","Soy la única clienta que hay en local demorando. Casi 30 minutos en entregar el pedido y para rematar me dan un pocket de espinacas por la mitad diciendo que no tienen  insumos para hacerlos completos con estos trabajadores no dan ganas de volver más...acá lastima por q la comida es buenaMás","En cuestión de comida vegetariana y saludable son una buena opción, pero el servicio me hizo no ir más. Mi favorito del menú es el Bowl Teriyaki y la última que vez que fui a los de la cocina se les olvido por completo añadirle...la salsa teriyaki!!!Más","La comida es deliciosa, balanceada, fresca y realmente saludable. La carta es muy variada, opciones de burritos en tortilla integral rellenos de quinoa o arroz integral, Wraps en tortilla integral, ensaladas, Bowls de quinoa, arroz integral o pasta de arroz. Es una excelente opción para...celiacos y veganos pero también ofrecen la opción de agregar proteínas en todos sus platos. Tienen postres como helado, smoothies y muffins. Los que atienden muy amables. Volvería sin duda! Nunca pensé que la comida saludable podía ser tan rica!Más","La atención fue pésima, no hubo sugerencias, por mas de que tuve acceso a dos empleados ninguno de los dos fue atento.  Me parecía una opción saludable pero preferí cambiar de sitio.","Estuvimos el jueves 24 de marzo a las 2:05 pm - llegamos al mostrador y nos atendió un muchacho al que comentamos que era nuestra primera visita - no le importo y que viéramos la carta - se fue y vino una muchacha de igual...pésima manera de atender - si así es al iniciar cómo será de mala la comida? Finalmente nos quejamos y les importo nada - nos fuimos y no volveremos - es la 2 y última vez que lo intentamosMás","Es bueno que tienen un horario súper amplio, no tienen mucha variedad de desayunos pero son buenos, los bowls no me matan (hay unos que me saben a jabón jeje) pero la sopa spicy lemongrass es excelente y le echas la proteína que quieres. Y...tiene unos batidos con nueces y proteína de soya y banano muy buenos. Los jugos no me gustan porque no soy de jugos con verduras. En fin, muy buen sitio para comer sanoMás","Suelo comer ahí frecuentemente, las quejas que escucho es que el sabor no es muy rico, posiblemente porque la comida es casi que nula en salsas y condimentos, los ingredientes tienden a ser siempre frescos y con propiedades buenas para el cuerpo (aunque no todos)....Es rápido, llenador, saludable y rico si se aprecia ese estilo de comida. Ofrece muchas opciones para quienes son veganos o vegetarianos, quienes busquen comer light o quienes no tengan ninguna preferencia en su forma de comer pero quieran ir ahí. Los wraps son muy ricos, los burritos y smoothies también. Tienen yogurt helado que se puede comer con toppings saludables como almendras, canela o frutas, de nuevo no serán para quienes están acostumbrados a helados con alto contenido calorico y azúcar. También ofrecen pequeños postres saludables, sobre todo las PB Balls y los muffins son deliciosos. Seria ideal que sus domicilios tuvieran datáfono y no solo aceptar efectivo. El servicio en caja si pudiera ser mucho mejor, sobretodo cuando se tiende a tener tantos clientes frecuentes. Otra cosa es que el lugar frecuentemente esta muy frío y no dan ganas de quedarse mucho tiempo y peor en sillas de metal.Más","Buena opción para Veganos, vegetarianos y hasta carnívoros que están en busca de alternativas saludables. La atención en caja es pésima, pero la calidez y prontitud del personal de la cocina lo compensa.","Si quieres comer saludable no dudes en dirigirte a freshii te recomiendo los burritos y los diferentes jugos energeticos que ofrecen, la comida es deliciosa y fresca, se encuentra cerca al centro comercial villa country y los precios son normales.",NA,NA,NA,NA,NA
"7",7,"Muy buen lugar, aunque me gustaría que prohibieran el ingreso de animales.porque el día que yo fuí me tocó cenar al lado de un perro oloroso y que además estaba babeando. Me parece un poco desagradable esto.. Del resto la comida es excelente y los...precios también muy buenos.Más","La comida y la atención son excelentes.
El menú novedoso y saludable.
El lugar es limpio y agradable.
Los precios son asequibles.","Comida saludable fresca y deliciosa,carta variada, excelente atención super recomendados, en esta visita probamos el sandwich de pollo y la hamburguesa hulk burguer con un delicioso smothie","Excelente comida y bebidas naturales y saludables, buen concepto y atención personalizada. Comí un baquetee relleno. Excelente..!!, la próxima voy por la Fitza..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Restaurante extremadamente agradable, silencioso, donde se tiene una sensación de paz que hace más placentera la experiencia culinaria. El menú, a 15.000 pesos, muy bien conseguido. No es caro teniendo en cuenta que las verduras son frescas.","El ambiente del lugar es tranquilo y relajado, la comida es muy buena , tiene diferentes platos para escoger  y lo mejor es que no es exclusivo para  personas  vegetarianas o veganas.","El menú es muy variado con opciones veganas y vegetarianas, en esta última visita me animé a probar la salchipapa vegetariana la cual estuvo de maravilla y fuera de lo común, salchichas veganas, champiñones y hasta aguacate.

El ambiente como siempre el mejor.","Esta vez la pizza fue la novedad, saben cómo hacer que la comida vegetariana y vegana sea deliciosa!!  De mis platos favoritos los raviolis de ricotta con salsa pomodoro como siempre perfectos!","Menu variado, tienen una carta muy amplia recomiendo especialmente las pizzas. Ideal para personas vegetarianas","Deliciosa comida!","Gracias .","Excelente restaurante de cocina vegetariana! Ambiente tranquilo y la atencion es muy buena, recomendado.","Mi restaurante vegetariano favorito en la ciudad","Gracias.","Un restaurante vegetariano! Saludable! Delicioso!!! Tienen variedad de platos! Sus dueños son muy amables, son muy atentos, el ambiente es muy tranquilo, mucha paz, es un mundo pequeño hermoso! Su decoración, su música, todo en conjunto crean un ambiente muy relájante. Los viernes tienen unos...panes deliciosos! Tambien Tienen postres crudiveganos deliciosos y saludables! Las bebidas, pizzas, todo es delicioso!!!! Para mi es el mejor restaurante de la ciudad!Más","El mejor restaurante vegetariano de la ciudad","Siempre estamos para servirles.",NA,NA
"9",9,"Es buena opcion para aquellos que quieren pecar sin remordimientos, la comida es buena el dia q almorzamos pedimos una pasta integral muy rica y no puede faltar un postre q no podia faltar","Los postres son deliciosos, saludables una buena opción para quitar antojos. Muy buen ambiente para pasar la tarde","La calidad es terrible. Le di una segunda oportunidad y me he intoxicado dos veces. Yo, personalmente no recomiendo este lugar. Hasta los deditos de centeno son grasosos","Buena opcion para comer algo rapido, recomendado para todos aquellos que desean comer algo rapido y rico.","Excelente.  Una opción saludable en barranquilla.
Los precios son razonables porque las porciones son grandes, especialmente el dedito de queso en harina integral, te dan la posibilidad de escoger entre leche de almendras, yogurt griego y agua para los smoothies. Nosotros pedimos uno que se...llama pasion red que lleva patilla, fresa y mora y estaba muy bueno, tanto que pedimos otro. Mi esposa pidió un parfait de kiwi y fresa y tambien estaba bueno y de buen tamaño... en general remendadísimo, espero sigan así!Más","Buenísima opción para un snack saludable, en un pequeño local con una acogedora decoración y excelente atención. Deliciosos parfaits!","Mi hija mayor que tiene 9 años...conoció el negocio en la feria del sabor realizada en Barranquilla... y desde ese día tenía muchisimas ganas de ir al local... cuando fuimos NOS enamoramos de la comida, la atención, el lugar... en fin... tanto q practicamente una...vez a la semana comemos alli... hemos disfrutado de sandwich de pavo sin queso😊, un smoothie funny no recuerdo el resto del nombre en leche de almendras... delicioso... mis hijas saborearon el parfair... en fin... super recomendado..Más",NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Excelente lugar, excelente servicio , excelente café, excelentes anfitriones.
Te felicito Nicolas. . 

En resumen 100% recomendable.","Uno de los mejores lugares para encontrarse con amigos. Musica suave y ambiente acogedor que lo hacen el lugar ideal para una buena conversacion. Ubicado al norte de la ciudad es de facil acceso. La comida es variada y ofrece latos y precios para todos...los gustos. Aparte de bebidas calientes, ofrecen tambien cerveza y licores variados. si llegas a la ciudad no dejes de visitarloMás","Tengo 6 años de haber conocido el mejor lugar o diría mi lugar favorito en Barranquilla. Es un restaurante que tiene un aire acojedor y te si êtes como en casa con tus amigos, es un lugar extraordinario y cualquiera que vaya por primera vez...querrá ir siempre. La comida es super esquisita y las hamburguesas son muy jugosas. 😍😍😍

Es un lugar que tiene algo especial que atrae a las personas ya sea por su típica comida o su agradable ambiente. 💯% recomendado.Más","Tuve mis dudas cuando me invitaron al lugar, no soy muy dado a la comida vegetariana... Pero a medida que fuimos pidiendo los platos caribeños y con ingredientes vegetarianos.... Me enamoraron de one... Muy ricas las combinaciones de la ahiaca, las empanas y sanduches.... La...textura el sabor y la sazón son muy ricas. No solo la comida vegetariana predominan en la carta, también hay platos con carnes rojas y blancas para todos los gustos, así Q una persona que no es vegetariana puede encontrar gran variedad de platos deliciosos. Las cervezas muy heladas y a muy buen precio lo cual entona perfectamente con el lugar, la decoración y la atención fue muy buena, rápida y eficiente. En general, el. Lugar es agradable para comer, charlar y escuchar buena música para disfrutar en pareja o en amigos.Más","Un sitio diferente en Barranquilla, bien ubicado, agradable, con excelente música, una oferta de cafés deliciosa con una gastronomía sana y sabrosa. Además ofrecen diferentes eventos de música, poesía, arte, etc, lo que lo hace especial y le da un toque internacional. Allí cabe todo...el mundo:  universitarios, artistas, extranjeros, ejecutivos, familias. Los anfitriones queridísimos, y la atención excelente. Buenos precios. Lo recomiendo.Más","El ambiente es muy tranquilo, digno de un patio hecho para tomar café, el servicio super atento y amable, el menú está hecho para todos los gustos y cuenta con muy buenas opciones vegetarianas.
El Chocolate en agua delicioso, en definitiva volveré.","Una experiencia diferente y muy especial. La comida pensada y elaborada con gusto y con detalle para resultar saludable y muy muy deliciosa.
La música excelente también. Puedes hablar y disfrutar.
Lo recomiendo. Relación precio-calidad buena.","Rico el ambiente, súper la música...nunca pero nunca comas en el sitio, indignante la comida, costosa y fea. Si quieres un sitio para charlar perfecto, si quieres un sitio para cenar y charlar, busca otro lugar...el servicio bastante regular.","Este lugar me encantó desde que lo descubrí por redes sociales. Ambiente tranquilo, buena música, deliciosa comida. El café vietnamita es una delicia. La atención del mesero Santiago es 1A. Me gustó que no usan pitillos en las bebidas y que venden Costeñita. Recomiendo el...sandwich Goya. Volveré.Más","El mejor ambiente y el mejor café! Me gustó mucho su originalidad, se respira arte y amabilidad. Recomendado.",NA,NA,NA,NA,NA
