"","id","cocina","rango_precios","calificacion","numero_calificaciones","direccion","horario","comentarios","ranking"
"1",1,"Saludable","No disponible",4.5,11,"Calle 84 No. 55 Esquina, Barranquilla Colombia"," Abierto ahora: 09:00 a. m. - 10:00 p. m.","opcin saludableuna buena opcin de comida saludable y con poca opcin vegana en especial en las protenas la atencin es sper rpida personal muy atento y servicial ingredientes frescos con muy buenas opciones los wraps recomendados ofrecen desayunos almuerzos snack pizzas batidos entre otros se puedepagar con efectivo o tarjeta seguramente volvermsmuy agradablegratamente encontre este sitio muy saludable rompe con los esquemas tradicionales de comida puedes comer saludable y con muy buen sabor ademas quedas satisfechootra opcin en comida sanabuena ubicacin el local con buena distribucin y ambiente las diferentes opciones y lo mejor la frescura de sus productos hacen que los platos sean primero buen vistos y luego exquisitos al paladar la atencin inmejorable se recomiendacompartir una comida sanalas opciones de comida muy deliciosas y todo fresco buena atencion de los empleados los jugos deliciosos y de muchas combinaciones locacion comoda y agradablecomida sana me encanta las opciones sanas que tiene para comer la pizza deliciosa los wraps tambin y lo mejortu armaslo que quieres comerpara vegetarianosmuy buena opcin para todos que coman comida fit y que sean vegetarianos se encuentra buena comidasaludablemente genialun sentimiento de tranquilidad y sana satisfaccin culinaria inundan al visitante ya que su comida saludable rica y ambiente agradable no pasan desapercibidossi el hambre llamasolo acompaado y a cualquier hora del da simplemente delicioso sin importar su estilo de vida yo alimentacin aqu encontrars una buena opcin excelente servicio y buenos precioscomida sana no es la primera vez que voyme ha gustado el sistema de armar lo que t quieras comer los vegetales que a ti te gustan con o sin salsalas pizzas deliciosas me encantan los jugos naturales y sin aguasuperdelicioso y sano almuerzoamo la carne pero me encantan las verduras estaba encantado de encontrar esta comida frescasana y lo mejor deliciosa lugar limpio ensaladas frescas y envolturas vegetarianas","#1 de 1 mercado de alimentos especializados en Barranquilla"
"2",2,"Saludable","No disponible",3.5,13,"Calle 99 # 53-34 Local 34, CC Plaza del Parque, Barranquilla 080014 Colombia",NA,"no merece el gastoeste lugar me haba parecido muy bueno pero la calidad baj considerablemente un lomo de 250 gr no tiene ni el peso de medio de eso para completar trmino medio lo sirven a trmino well done a dems de abierto para que pierda todos losjugos espantoso al menos aceptaron la devolucin del plato no lo recomiendo la idea buena la ejecucin deja mucho que desearmspesimoped a domicilio unos brownies de mimi y me los trajeron en plena pandemia abiertos y con moho una falta de todovolvera sin dudaiba de paso por barranquilla y llegu aqu por una ensalada rpida la atencin fue genial y el sabor de la comida excelente adems compr productos para mi merienda en el viaje muy completo y excelente serviciopesimo servicioesperamos 1 hora para tres limonada nunca llegaron nos toc levantarnos por los platos y unas botellas de agua la comida nada especial no lo recomiendoel postre cabe aclarar que visitamos el de cartagena pero no lo encontr en la app y no quise dejar pasar la portunidad para dejar mi comentario despus de una mojarra negra a la orilla de la playa una de mis amigas decidi invitar un helado elmejor helado que se han comido en sus vidas debo reconocer que este helado de mquina con sabor a man es delicioso par ser saludablefitbajo en grasas o como quieran llamarloadems el lugar es muy acogedor y aprovechamos para comprarmsdelicioso y variedad de opciones las porciones son generosas recomendado el chicken taco y el fit breaded chicken el postre de leche de almendra es delicioso deben mejorar la atencin lentos para limpiar y estar pendientes de las necesidades de los clientesdeliciosoa mi me encanta encuentro miles de productos saludables la pizza con masa saludable que se pide por rappi es fantsticaunos acomplejados estuve all el sbado pasado una de tantas veces que he ido y siempre voy porque me vena gustando su concepto saludable perooh sorpresa en la terraza estaban unos extranjeros de los cuales uno estaba fumando un habano me sent como en una casa dondese practica brujera el olor de tabaco rancio era insoportable exig entonces a los encargados que obligaran a esa persona a apagar el habano o a irse del sitio haciendo valer mi derecho de no fumador como as lo postula la norma ley 1335 de 2009 me respondieron con una cara de incertidumbre dejndome claro que no tenan idea alguna de esa ley a la cual deben ajustarsepor ser un establecimiento de comercio abierto al pblico y an ms por su objeto social pero no culpo a los que estaban a esa hora atendiendo el local porque es evidente que responden al precario compromiso con el consumidor que tiene la mayora de los propietarios de los negocios de esta rochela llamada barranquilla y cuando por fin se convencieron de que deban obligar al fumador a apagar el habano se lo exigieron con tanta reverencia vergenza y complejo que hasta le permitieron que se fumara en pedacito que le faltaba para que que no se molestara el muy ignorante y todo porque era un extranjero toda una exposicin de la ms pattica colombianada y desafirmacin cultural como en su momento lo denunciaba david snchez juliao que si voy a volver no s ese da me sent muy frustradomsfit loveesta es la mejor comida fit que hay en barranquilla aparte es un mercadito fit muy bien surtido muy lindo el lugar buen ambiente y buen sabor recomendadisimotodo me encanta de aqucomida deliciosa una opcin saludable pero rica recomiendo el salmn el sushi y las hamburguesas aunque en general todo es excelente la atencin es muy buenay el concepto de restaurantemercado es un hit vuelvo siempre","#267 de 503 restaurantes en Barranquilla"
"3",3,"Saludable","No disponible",4,5,"Calle 99 # 52 – 53 Centro Comercial Buenavista II, Barranquilla Colombia",NA,"rico y saludablees un muy buen ambiente agradable limpio tiene comida deliciosa y con sabores muy buenos comer sano nunca antes haba sido tan rico los precios estn bien el personal es atento el lugar es autoservicio es comida rpida pero sanacomida sanaes una buena opcin si se quiere comer algo rico pero bajo en caloras encontr buena la calidad de la comidasaludableuna buena opcin para mantenerse saludable recomenada cualquier ensalada cryspi con pollo o mariscos delicosos batidosmuy buena comida saludablelos wraps y las ensaladas son muy buenas los jugos se nota lo saludable en el sabor hay que probarlos todosla quinoa muy bien preparadamuy pequeo pero buena opcion de comida saludablesiempre esta lleno todo es rico super saludable sus opciones pero siempre encontaras esto lleno es como para comprar e irte muy pequeo esta dentro de un centro comercial y es una buena opcion rapida y saludable sus wraps son muy ricos el desayuno aquies buena opcion ya que esta mas vacio y puedes encontrar donde sentarte y estar comodo un rato aqui disfrutando de las delicidas fitms","#268 de 503 restaurantes en Barranquilla"
"4",4,"Saludable","Bajo",4,2,"Carrera 58 96 187 Local 3, Barranquilla 080001 Colombia"," Abierto ahora: 07:30 a. m. - 10:00 p. m.","buen sitio para ir con amigossitio chevere relajado ensaladas generosas recomiendo la tostada con salsa de ciruela y serrano deli buenos sndwiches torta de banano muy seca y limonada de corozomuy normal precios razonablesnos atendieron muy bienuna buena alternativa saludableuna buena alternativa saludable las pizzas son un hit deliciosas y crocantes ufffffff recomendadisimo","#329 de 503 restaurantes en Barranquilla"
"5",5,"Saludable","Bajo",5,1,"calle 93 n 42 H 60, Barranquilla 080020 Colombia",NA,"no solo es comida algo massuper saludable no solo es un lugar donde puedes ir a consumir alimentos saludables si no te ayudan a crear tus propios habitos alimenticios que puedes seguir en casa no es tema de dieta es un estilo de vida","#373 de 503 restaurantes en Barranquilla"
"6",6,"Saludable","Medio",3.5,17,"Carrera 53 # 76-279 Centro Comercial Shopping Norte, Barranquilla 081007 Colombia"," Abierto ahora: 07:00 a. m. - 10:00 p. m.","atencin psima comida buenala atencin del personal no es muy buena para nada amables y demasiado demorada habamos muy pocos clientes 3 y demoraron ms de 20 minutos en un plato sencillo la administracin o dueos del lugar deben prestar ms atencin a esto la comida es deliciosapero la atencin al consumidor daa todomspsima atencinsoy la nica clienta que hay en local demorando casi 30 minutos en entregar el pedido y para rematar me dan un pocket de espinacas por la mitad diciendo que no tieneninsumos para hacerlos completos con estos trabajadores no dan ganas de volver msac lastima por q la comida es buenamsvegano y sanoen cuestin de comida vegetariana y saludable son una buena opcin pero el servicio me hizo no ir ms mi favorito del men es el bowl teriyaki y la ltima que vez que fui a los de la cocina se les olvido por completo aadirlela salsa teriyakimssuper recomendado mejor comida saludable en barranquillala comida es deliciosa balanceada fresca y realmente saludable la carta es muy variada opciones de burritos en tortilla integral rellenos de quinoa o arroz integral wraps en tortilla integral ensaladas bowls de quinoa arroz integral o pasta de arroz es una excelente opcin paraceliacos y veganos pero tambin ofrecen la opcin de agregar protenas en todos sus platos tienen postres como helado smoothies y muffins los que atienden muy amables volvera sin duda nunca pens que la comida saludable poda ser tan ricamsatencion psimala atencin fue psima no hubo sugerencias por mas de que tuve acceso a dos empleados ninguno de los dos fue atentome pareca una opcin saludable pero prefer cambiar de sitioatencin psimaamargadosestuvimos el jueves 24 de marzo a las 205 pmllegamos al mostrador y nos atendi un muchacho al que comentamos que era nuestra primera visitano le importo y que viramos la cartase fue y vino una muchacha de igualpsima manera de atendersi as es al iniciar cmo ser de mala la comida finalmente nos quejamos y les importo nadanos fuimos y no volveremoses la 2 y ltima vez que lo intentamosmsamo su spicy lemongrass soup es bueno que tienen un horario sper amplio no tienen mucha variedad de desayunos pero son buenos los bowls no me matan hay unos que me saben a jabn jeje pero la sopa spicy lemongrass es excelente y le echas la protena que quieres ytiene unos batidos con nueces y protena de soya y banano muy buenos los jugos no me gustan porque no soy de jugos con verduras en fin muy buen sitio para comer sanomssi se busca comer saludable es un muy buen lugarsuelo comer ah frecuentemente las quejas que escucho es que el sabor no es muy rico posiblemente porque la comida es casi que nula en salsas y condimentos los ingredientes tienden a ser siempre frescos y con propiedades buenas para el cuerpo aunque no todoses rpido llenador saludable y rico si se aprecia ese estilo de comida ofrece muchas opciones para quienes son veganos o vegetarianos quienes busquen comer light o quienes no tengan ninguna preferencia en su forma de comer pero quieran ir ah los wraps son muy ricos los burritos y smoothies tambin tienen yogurt helado que se puede comer con toppings saludables como almendras canela o frutas de nuevo no sern para quienes estn acostumbrados a helados con alto contenido calorico y azcar tambin ofrecen pequeos postres saludables sobre todo las pb balls y los muffins son deliciosos seria ideal que sus domicilios tuvieran datfono y no solo aceptar efectivo el servicio en caja si pudiera ser mucho mejor sobretodo cuando se tiende a tener tantos clientes frecuentes otra cosa es que el lugar frecuentemente esta muy fro y no dan ganas de quedarse mucho tiempo y peor en sillas de metalmssaludablebuena opcin para veganos vegetarianos y hasta carnvoros que estn en busca de alternativas saludables la atencin en caja es psima pero la calidez y prontitud del personal de la cocina lo compensacomida saludablesi quieres comer saludable no dudes en dirigirte a freshii te recomiendo los burritos y los diferentes jugos energeticos que ofrecen la comida es deliciosa y fresca se encuentra cerca al centro comercial villa country y los precios son normales","#16 de 17 postres en Barranquilla"
"7",7,"Saludable","Bajo",5,4,"Cra 31 70B-60 Frente AL Parque Olaya, Barranquilla Colombia"," Abierto ahora: 05:30 a. m. - 9:30 p. m.","buena comidamuy buen lugar aunque me gustara que prohibieran el ingreso de animalesporque el da que yo fu me toc cenar al lado de un perro oloroso y que adems estaba babeando me parece un poco desagradable esto del resto la comida es excelente y losprecios tambin muy buenosmsmuy buen sabor menu novedoso y saludablela comida y la atencin son excelentesel men novedoso y saludableel lugar es limpio y agradablelos precios son asequibleshamburguesacomida saludable fresca y deliciosacarta variada excelente atencin super recomendados en esta visita probamos el sandwich de pollo y la hamburguesa hulk burguer con un delicioso smothiecomida saludableexcelente comida y bebidas naturales y saludables buen concepto y atencin personalizada com un baquetee relleno excelente la prxima voy por la fitzapara nosotros su opinin es muy valiosa muchas gracias","#396 de 503 restaurantes en Barranquilla"
"8",8,"Saludable","Medio",5,14,"Cra. 47 #79-178 El Porvenir, Barranquilla 080020 Colombia"," Abierto ahora: 08:00 a. m. - 5:00 p. m.","platos frescos genialmente cocinadosrestaurante extremadamente agradable silencioso donde se tiene una sensacin de paz que hace ms placentera la experiencia culinaria el men a 15000 pesos muy bien conseguido no es caro teniendo en cuenta que las verduras son frescasopcion diferenteel ambiente del lugar es tranquilo y relajado la comida es muy buenatiene diferentes platos para escogery lo mejor es que no es exclusivo parapersonasvegetarianas o veganasbuen ambiente y buena comidael men es muy variado con opciones veganas y vegetarianas en esta ltima visita me anim a probar la salchipapa vegetariana la cual estuvo de maravilla y fuera de lo comn salchichas veganas championes y hasta aguacateel ambiente como siempre el mejorcomo siempre deliciosoesta vez la pizza fue la novedad saben cmo hacer que la comida vegetariana y vegana sea deliciosade mis platos favoritos los raviolis de ricotta con salsa pomodoro como siempre perfectosel mejor restaurante vegetariano de bquillamenu variado tienen una carta muy amplia recomiendo especialmente las pizzas ideal para personas vegetarianasgracias por tu comentario realmente valioso para nosotrosdeliciosa comidaun men variado y sper saludable estupendas opciones para los vegetarianos y veganosan cuando no lo soy me encanta comer de jharikanda y excelente atencin gracias restaurante recomendadoexcelente restaurante de cocina vegetariana ambiente tranquilo y la atencion es muy buena recomendadogracias por visitarnos y compartir su experienciami restaurante vegetariano favorito en la ciudadtienen un menu vegetariano bastante amplio y todo lo que he probado ha estado delicioso el ambiente es muy relajante y tranquiloes siempre una buena opcingraciasun tesoro en barranquillaun restaurante vegetariano saludable delicioso tienen variedad de platos sus dueos son muy amables son muy atentos el ambiente es muy tranquilo mucha paz es un mundo pequeo hermoso su decoracin su msica todo en conjunto crean un ambiente muy reljante los viernes tienen unospanes deliciosos tambien tienen postres crudiveganos deliciosos y saludables las bebidas pizzas todo es delicioso para mi es el mejor restaurante de la ciudadmsgracias por tanto amorel mejor restaurante vegetariano de la ciudadtodo aqu es delicioso sumado a un ambiente de tranquilidad y paz gracias a la excelente atencin de sus anfitriones que son un amor las pizzas son exquisitassiempre estamos para servirles","#171 de 503 restaurantes en Barranquilla"
"9",9,"Saludable","Bajo",4,7,"Carrera 59c 81 - 126, Barranquilla Colombia"," Abierto ahora: 08:00 a. m. - 8:00 p. m.","almuerzo fites buena opcion para aquellos que quieren pecar sin remordimientos la comida es buena el dia q almorzamos pedimos una pasta integral muy rica y no puede faltar un postre q no podia faltarcomida sana los postres son deliciosos saludables una buena opcin para quitar antojos muy buen ambiente para pasar la tardemala calidadla calidad es terrible le di una segunda oportunidad y me he intoxicado dos veces yo personalmente no recomiendo este lugar hasta los deditos de centeno son grasosospara parar comer algo y salirbuena opcion para comer algo rapido recomendado para todos aquellos que desean comer algo rapido y ricoexcelenteexcelenteuna opcin saludable en barranquillalos precios son razonables porque las porciones son grandes especialmente el dedito de queso en harina integral te dan la posibilidad de escoger entre leche de almendras yogurt griego y agua para los smoothies nosotros pedimos uno que sellama pasion red que lleva patilla fresa y mora y estaba muy bueno tanto que pedimos otro mi esposa pidi un parfait de kiwi y fresa y tambien estaba bueno y de buen tamao en general remendadsimo espero sigan asmssnack saludablebuensima opcin para un snack saludable en un pequeo local con una acogedora decoracin y excelente atencin deliciosos parfaitsespectacularmi hija mayor que tiene 9 aosconoci el negocio en la feria del sabor realizada en barranquilla y desde ese da tena muchisimas ganas de ir al local cuando fuimos nos enamoramos de la comida la atencin el lugar en fin tanto q practicamente unavez a la semana comemos alli hemos disfrutado de sandwich de pavo sin queso un smoothie funny no recuerdo el resto del nombre en leche de almendras delicioso mis hijas saborearon el parfair en fin super recomendadoms","#5 de 5 casas de café y té en Barranquilla"
"10",10,"Saludable","Medio",5,23,"Carrera 57 # 75 - 41, Barranquilla 080001 Colombia"," Cerrado ahora:  Ver todos los horarios","bunt caf excelente lugar excelente servicioexcelente caf excelentes anfitrioneste felicito nicolasen resumen 100 recomendablebunt cafeuno de los mejores lugares para encontrarse con amigos musica suave y ambiente acogedor que lo hacen el lugar ideal para una buena conversacion ubicado al norte de la ciudad es de facil acceso la comida es variada y ofrece latos y precios para todoslos gustos aparte de bebidas calientes ofrecen tambien cerveza y licores variados si llegas a la ciudad no dejes de visitarlomsmejor experiencia bunt caftengo 6 aos de haber conocido el mejor lugar o dira mi lugar favorito en barranquilla es un restaurante que tiene un aire acojedor y te si tes como en casa con tus amigos es un lugar extraordinario y cualquiera que vaya por primera vezquerr ir siempre la comida es super esquisita y las hamburguesas son muy jugosas es un lugar que tiene algo especial que atrae a las personas ya sea por su tpica comida o su agradable ambienterecomendadomsun lugar relajantetuve mis dudas cuando me invitaron al lugar no soy muy dado a la comida vegetariana pero a medida que fuimos pidiendo los platos caribeos y con ingredientes vegetarianos me enamoraron de one muy ricas las combinaciones de la ahiaca las empanas y sanduches latextura el sabor y la sazn son muy ricas no solo la comida vegetariana predominan en la carta tambin hay platos con carnes rojas y blancas para todos los gustos as q una persona que no es vegetariana puede encontrar gran variedad de platos deliciosos las cervezas muy heladas y a muy buen precio lo cual entona perfectamente con el lugar la decoracin y la atencin fue muy buena rpida y eficiente en general el lugar es agradable para comer charlar y escuchar buena msica para disfrutar en pareja o en amigosmsdiferente chvere interesanteun sitio diferente en barranquilla bien ubicado agradable con excelente msica una oferta de cafs deliciosa con una gastronoma sana y sabrosa adems ofrecen diferentes eventos de msica poesa arte etc lo que lo hace especial y le da un toque internacional all cabe todoel mundouniversitarios artistas extranjeros ejecutivos familias los anfitriones queridsimos y la atencin excelente buenos precios lo recomiendomspara volverel ambiente es muy tranquilo digno de un patio hecho para tomar caf el servicio super atento y amable el men est hecho para todos los gustos y cuenta con muy buenas opciones vegetarianasel chocolate en agua delicioso en definitiva volverexcelente sitio una experiencia diferente y muy especial la comida pensada y elaborada con gusto y con detalle para resultar saludable y muy muy deliciosala msica excelente tambin puedes hablar y disfrutarlo recomiendo relacin preciocalidad buenaslo para charlarrico el ambiente sper la msicanunca pero nunca comas en el sitio indignante la comida costosa y fea si quieres un sitio para charlar perfecto si quieres un sitio para cenar y charlar busca otro lugarel servicio bastante regularcero pitillo maravillosoeste lugar me encant desde que lo descubr por redes sociales ambiente tranquilo buena msica deliciosa comida el caf vietnamita es una delicia la atencin del mesero santiago es 1a me gust que no usan pitillos en las bebidas y que venden costeita recomiendo elsandwich goya volvermsme encantael mejor ambiente y el mejor caf me gust mucho su originalidad se respira arte y amabilidad recomendado","#106 de 503 restaurantes en Barranquilla"
